site_id,site_name,sku_id,sku_name,item_type,uom,initial_stock,source_stock_before_capacity_check,reorder_point,max_capacity,reorder_qty,lead_time_days,demand_mean,demand_std,unit_cost,vendor_id,storage_mode,batch_number,expiry_date,source_record_count,source_date_min,source_date_max,source_dataset,source_fields,derived_fields,quality_note
SITE_B,North Regional Hub,HSC-100,IV Drip,Consumable,case,1905.84,1905.84,244.8,2111.04,1183.68,16,98.64,17.76,5863.88,V001,VNA,B-B-100-F7364F,2027-08-03,15,2024-10-02,2026-02-09,Kaggle Hospital Supply Chain / inventory_data.csv,"Item_ID,Item_Name,Item_Type,Current_Stock,Min_Required,Max_Capacity,Unit_Cost,Avg_Usage_Per_Day,Restock_Lead_Time,Vendor_ID,Date","site_id,uom,storage_mode,batch_number,expiry_date,demand_std,reorder_qty",
SITE_B,North Regional Hub,HSC-101,Surgical Mask,Consumable,box,2170.8,2170.8,404.64,2314.8,2116.8,16,176.4,31.75,8638.15,V001,VNA,B-B-101-453A66,2027-06-01,15,2024-10-20,2025-12-08,Kaggle Hospital Supply Chain / inventory_data.csv,"Item_ID,Item_Name,Item_Type,Current_Stock,Min_Required,Max_Capacity,Unit_Cost,Avg_Usage_Per_Day,Restock_Lead_Time,Vendor_ID,Date","site_id,uom,storage_mode,batch_number,expiry_date,demand_std,reorder_qty",
SITE_B,North Regional Hub,HSC-102,Ventilator,Equipment,unit,1569.6,1569.6,402.48,2485.44,2485.44,22,214.56,38.62,9495.74,V002,SECURE_CAGE,B-B-102-CF8434,,17,2024-11-16,2026-01-19,Kaggle Hospital Supply Chain / inventory_data.csv,"Item_ID,Item_Name,Item_Type,Current_Stock,Min_Required,Max_Capacity,Unit_Cost,Avg_Usage_Per_Day,Restock_Lead_Time,Vendor_ID,Date","site_id,uom,storage_mode,batch_number,expiry_date,demand_std,reorder_qty",
SITE_B,North Regional Hub,HSC-103,IV Drip,Equipment,case,1643.76,1643.76,375.84,2748.24,2146.5,15,190.8,34.34,12341.39,V001,SECURE_CAGE,B-B-103-94B155,2027-07-01,21,2024-10-26,2026-01-07,Kaggle Hospital Supply Chain / inventory_data.csv,"Item_ID,Item_Name,Item_Type,Current_Stock,Min_Required,Max_Capacity,Unit_Cost,Avg_Usage_Per_Day,Restock_Lead_Time,Vendor_ID,Date","site_id,uom,storage_mode,batch_number,expiry_date,demand_std,reorder_qty",
SITE_B,North Regional Hub,HSC-104,IV Drip,Equipment,case,1452.96,1452.96,277.2,2448.0,1239.84,8,206.64,37.2,7091.41,V002,SECURE_CAGE,B-B-104-8A2133,2027-07-19,11,2024-11-13,2026-01-25,Kaggle Hospital Supply Chain / inventory_data.csv,"Item_ID,Item_Name,Item_Type,Current_Stock,Min_Required,Max_Capacity,Unit_Cost,Avg_Usage_Per_Day,Restock_Lead_Time,Vendor_ID,Date","site_id,uom,storage_mode,batch_number,expiry_date,demand_std,reorder_qty",
SITE_B,North Regional Hub,HSC-105,X-ray Machine,Equipment,unit,1863.36,1863.36,385.2,2021.04,1425.6,15,126.72,22.81,10111.41,V001,SECURE_CAGE,B-B-105-97DB5E,,19,2024-10-08,2026-02-12,Kaggle Hospital Supply Chain / inventory_data.csv,"Item_ID,Item_Name,Item_Type,Current_Stock,Min_Required,Max_Capacity,Unit_Cost,Avg_Usage_Per_Day,Restock_Lead_Time,Vendor_ID,Date","site_id,uom,storage_mode,batch_number,expiry_date,demand_std,reorder_qty",
SITE_B,North Regional Hub,HSC-106,Gloves,Equipment,box,1424.88,1424.88,427.68,2884.32,1436.4,10,191.52,34.47,8070.0,V003,SECURE_CAGE,B-B-106-F16938,2027-07-31,15,2024-12-07,2026-02-06,Kaggle Hospital Supply Chain / inventory_data.csv,"Item_ID,Item_Name,Item_Type,Current_Stock,Min_Required,Max_Capacity,Unit_Cost,Avg_Usage_Per_Day,Restock_Lead_Time,Vendor_ID,Date","site_id,uom,storage_mode,batch_number,expiry_date,demand_std,reorder_qty",
SITE_B,North Regional Hub,HSC-107,Gloves,Consumable,box,2156.4,2156.4,413.28,2696.4,1564.92,18,115.92,20.87,10124.28,V002,VNA,B-B-107-D4050D,2027-07-22,17,2024-10-05,2026-01-28,Kaggle Hospital Supply Chain / inventory_data.csv,"Item_ID,Item_Name,Item_Type,Current_Stock,Min_Required,Max_Capacity,Unit_Cost,Avg_Usage_Per_Day,Restock_Lead_Time,Vendor_ID,Date","site_id,uom,storage_mode,batch_number,expiry_date,demand_std,reorder_qty",
SITE_B,North Regional Hub,HSC-108,Ventilator,Consumable,unit,2026.8,2026.8,226.8,2535.84,2535.84,18,216.0,38.88,8807.99,V002,SECURE_CAGE,B-B-108-CBBDA2,,19,2024-10-14,2025-11-29,Kaggle Hospital Supply Chain / inventory_data.csv,"Item_ID,Item_Name,Item_Type,Current_Stock,Min_Required,Max_Capacity,Unit_Cost,Avg_Usage_Per_Day,Restock_Lead_Time,Vendor_ID,Date","site_id,uom,storage_mode,batch_number,expiry_date,demand_std,reorder_qty",
SITE_B,North Regional Hub,HSC-109,IV Drip,Equipment,case,2267.28,2267.28,421.2,2401.56,1799.82,11,218.16,39.27,9351.18,V003,SECURE_CAGE,B-B-109-CED38F,2027-07-25,18,2024-11-10,2026-01-31,Kaggle Hospital Supply Chain / inventory_data.csv,"Item_ID,Item_Name,Item_Type,Current_Stock,Min_Required,Max_Capacity,Unit_Cost,Avg_Usage_Per_Day,Restock_Lead_Time,Vendor_ID,Date","site_id,uom,storage_mode,batch_number,expiry_date,demand_std,reorder_qty",
SITE_C,East Satellite Depot,HSC-100,Ventilator,Equipment,unit,1293.6,1293.6,227.04,1321.2,839.52,8,139.92,25.19,13178.74,V001,SECURE_CAGE,B-C-100-057FF2,,20,2024-10-27,2026-02-07,Kaggle Hospital Supply Chain / inventory_data.csv,"Item_ID,Item_Name,Item_Type,Current_Stock,Min_Required,Max_Capacity,Unit_Cost,Avg_Usage_Per_Day,Restock_Lead_Time,Vendor_ID,Date","site_id,uom,storage_mode,batch_number,expiry_date,demand_std,reorder_qty",
SITE_C,East Satellite Depot,HSC-101,X-ray Machine,Consumable,unit,966.72,966.72,246.72,1651.68,1651.68,17,144.0,25.92,10496.26,V001,SECURE_CAGE,B-C-101-F90DB3,,19,2024-10-15,2026-01-26,Kaggle Hospital Supply Chain / inventory_data.csv,"Item_ID,Item_Name,Item_Type,Current_Stock,Min_Required,Max_Capacity,Unit_Cost,Avg_Usage_Per_Day,Restock_Lead_Time,Vendor_ID,Date","site_id,uom,storage_mode,batch_number,expiry_date,demand_std,reorder_qty",
SITE_C,East Satellite Depot,HSC-102,X-ray Machine,Consumable,unit,1079.52,1079.52,283.2,1635.36,1635.36,20,134.88,24.28,9237.32,V001,SECURE_CAGE,B-C-102-F8DF40,,15,2024-10-09,2026-02-04,Kaggle Hospital Supply Chain / inventory_data.csv,"Item_ID,Item_Name,Item_Type,Current_Stock,Min_Required,Max_Capacity,Unit_Cost,Avg_Usage_Per_Day,Restock_Lead_Time,Vendor_ID,Date","site_id,uom,storage_mode,batch_number,expiry_date,demand_std,reorder_qty",
SITE_C,East Satellite Depot,HSC-103,Gloves,Consumable,box,1225.92,1225.92,258.24,1506.24,1506.24,16,142.08,25.57,8376.04,V002,VNA,B-C-103-6F699E,2027-06-17,21,2024-10-03,2025-12-24,Kaggle Hospital Supply Chain / inventory_data.csv,"Item_ID,Item_Name,Item_Type,Current_Stock,Min_Required,Max_Capacity,Unit_Cost,Avg_Usage_Per_Day,Restock_Lead_Time,Vendor_ID,Date","site_id,uom,storage_mode,batch_number,expiry_date,demand_std,reorder_qty",
SITE_C,East Satellite Depot,HSC-104,IV Drip,Consumable,case,1111.92,1111.92,304.8,1235.04,1235.04,17,162.24,29.2,11621.77,V002,VNA,B-C-104-BD2483,2027-07-17,20,2024-11-26,2026-01-23,Kaggle Hospital Supply Chain / inventory_data.csv,"Item_ID,Item_Name,Item_Type,Current_Stock,Min_Required,Max_Capacity,Unit_Cost,Avg_Usage_Per_Day,Restock_Lead_Time,Vendor_ID,Date","site_id,uom,storage_mode,batch_number,expiry_date,demand_std,reorder_qty",
SITE_C,East Satellite Depot,HSC-105,Surgical Mask,Equipment,box,1158.24,1158.24,136.32,2288.64,1118.88,14,106.56,19.18,14073.16,V002,SECURE_CAGE,B-C-105-9143E5,2027-06-20,11,2024-10-21,2025-12-27,Kaggle Hospital Supply Chain / inventory_data.csv,"Item_ID,Item_Name,Item_Type,Current_Stock,Min_Required,Max_Capacity,Unit_Cost,Avg_Usage_Per_Day,Restock_Lead_Time,Vendor_ID,Date","site_id,uom,storage_mode,batch_number,expiry_date,demand_std,reorder_qty",
SITE_C,East Satellite Depot,HSC-106,Surgical Mask,Consumable,box,1097.28,1257.6,91.2,1097.28,517.32,6,114.96,20.69,9876.56,V003,VNA,B-C-106-60896F,2027-02-26,8,2024-10-12,2025-09-04,Kaggle Hospital Supply Chain / inventory_data.csv,"Item_ID,Item_Name,Item_Type,Current_Stock,Min_Required,Max_Capacity,Unit_Cost,Avg_Usage_Per_Day,Restock_Lead_Time,Vendor_ID,Date","site_id,uom,storage_mode,batch_number,expiry_date,demand_std,reorder_qty",Initial stock capped at capacity
SITE_C,East Satellite Depot,HSC-107,IV Drip,Equipment,case,994.08,994.08,136.32,1743.84,1743.84,20,143.04,25.75,12244.95,V001,SECURE_CAGE,B-C-107-4EE66D,2027-08-04,21,2024-10-18,2026-02-10,Kaggle Hospital Supply Chain / inventory_data.csv,"Item_ID,Item_Name,Item_Type,Current_Stock,Min_Required,Max_Capacity,Unit_Cost,Avg_Usage_Per_Day,Restock_Lead_Time,Vendor_ID,Date","site_id,uom,storage_mode,batch_number,expiry_date,demand_std,reorder_qty",
SITE_C,East Satellite Depot,HSC-108,X-ray Machine,Consumable,unit,680.4,680.4,307.92,1792.32,1681.2,20,112.08,20.17,11687.9,V001,SECURE_CAGE,B-C-108-DA9AEA,,16,2024-11-02,2025-12-30,Kaggle Hospital Supply Chain / inventory_data.csv,"Item_ID,Item_Name,Item_Type,Current_Stock,Min_Required,Max_Capacity,Unit_Cost,Avg_Usage_Per_Day,Restock_Lead_Time,Vendor_ID,Date","site_id,uom,storage_mode,batch_number,expiry_date,demand_std,reorder_qty",
SITE_C,East Satellite Depot,HSC-109,Gloves,Consumable,box,1209.12,1209.12,273.6,1252.8,1252.8,20,157.44,28.34,12310.83,V001,VNA,B-C-109-52B32A,2027-07-08,15,2024-10-06,2026-01-14,Kaggle Hospital Supply Chain / inventory_data.csv,"Item_ID,Item_Name,Item_Type,Current_Stock,Min_Required,Max_Capacity,Unit_Cost,Avg_Usage_Per_Day,Restock_Lead_Time,Vendor_ID,Date","site_id,uom,storage_mode,batch_number,expiry_date,demand_std,reorder_qty",
