day,site_id,sku_id,sku_name,abc_class,xyz_class,stock_level,on_order,demand,fulfilled,stockout,reorder_point,true_day,source_sheet
5,SITE_A,HSC-105,IV Drip,C,Y,1971.1472595783603,0.0,141.87,141.87,False,510.0,4,Inventory_MasterA.xlsx
5,SITE_A,HSC-106,Ventilator,B,Y,1123.561474848671,0.0,267.81,267.81,False,491.0,4,WeeklyStockCount.xlsx
5,SITE_A,HSC-107,Surgical Mask,C,Y,1916.8677790436839,0.0,215.33,215.33,False,583.0,4,WeeklyStockCount.xlsx
5,SITE_A,HSC-108,Ventilator,B,Y,582.0,0.0,272.7,272.7,False,462.0,4,WeeklyStockCount.xlsx
5,SITE_A,HSC-109,X-ray Machine,A,Y,847.5983855718976,0.0,340.59,340.59,False,483.5,4,Inventory_MasterA.xlsx
6,SITE_A,HSC-100,IV Drip,C,Y,1406.0,0.0,197.78,197.78,False,527.0,5,WeeklyStockCount.xlsx
6,SITE_A,HSC-101,Gloves,A,Y,,0.0,340.77,340.77,False,613.0,5,ManualAdjustments.xlsx
6,SITE_A,HSC-102,IV Drip,B,Y,885.5244539137842,0.0,154.92,154.92,False,442.0,5,WeeklyStockCount.xlsx
6,SITE_A,HSC-103,Gloves,B,Y,946.185165898273,0.0,242.21,242.21,False,385.0,5,Inventory_MasterB.xlsx
6,SITE_A,HSC-104,X-ray Machine,A,Y,794.107088957585,0.0,265.45,265.45,False,589.0,5,Inventory_MasterB.xlsx
6,SITE_A,HSC-105,IV Drip,C,Y,932.0,0.0,120.8,120.8,False,510.0,5,ManualAdjustments.xlsx
6,SITE_A,HSC-106,Ventilator,B,Y,903.5266524572869,0.0,220.03,220.03,False,491.0,5,Inventory_MasterB.xlsx
6,SITE_A,HSC-107,Surgical Mask,C,Y,1654.1662657870902,0.0,262.7,262.7,False,583.0,5,ManualAdjustments.xlsx
6,SITE_A,HSC-108,Ventilator,B,Y,489.49712414484145,0.0,205.13,205.13,False,462.0,5,Inventory_MasterB.xlsx
6,SITE_A,HSC-109,X-ray Machine,A,Y,452.44976563429157,2776.12,395.15,395.15,False,483.5,5,WeeklyStockCount.xlsx
7,SITE_A,HSC-100,IV Drip,C,Y,1317.7247255869524,0.0,131.05,131.05,False,527.0,6,WeeklyStockCount.xlsx
7,SITE_A,HSC-101,Gloves,A,Y,1613.0896580507133,0.0,287.55,287.55,False,613.0,6,Inventory_MasterB.xlsx
7,SITE_A,HSC-102,IV Drip,B,Y,669.372388052815,0.0,216.15,216.15,False,442.0,6,WeeklyStockCount.xlsx
7,SITE_A,HSC-103,Gloves,B,Y,662.0665208495927,0.0,284.12,284.12,False,385.0,6,WeeklyStockCount.xlsx
7,SITE_A,HSC-104,X-ray Machine,A,Y,466.981061492398,1957.5,327.13,327.13,False,589.0,6,Inventory_MasterA.xlsx
7,SITE_A,HSC-105,IV Drip,C,Y,1694.351946740837,0.0,155.99,155.99,False,510.0,6,Inventory_MasterB.xlsx
7,SITE_A,HSC-106,Ventilator,B,Y,946.0,0.0,216.97,216.97,False,491.0,6,Inventory_MasterA.xlsx
7,SITE_A,HSC-107,Surgical Mask,C,Y,1464.393493581772,0.0,189.77,189.77,False,583.0,6,WeeklyStockCount.xlsx
7,SITE_A,HSC-108,Ventilator,B,Y,208.96925909865354,2817.0,280.53,280.53,False,462.0,6,WeeklyStockCount.xlsx
7,SITE_A,HSC-109,X-ray Machine,A,Y,127.53706859237099,2776.12,324.91,324.91,False,483.5,6,WeeklyStockCount.xlsx
8,SITE_A,HSC-100,IV Drip,C,Y,1172.8939507687078,0.0,144.83,144.83,False,527.0,7,WeeklyStockCount.xlsx
8,SITE_A,HSC-101,Gloves,A,Y,1369.511117798025,0.0,243.58,243.58,False,613.0,7,ManualAdjustments.xlsx
8,SITE_A,HSC-102,IV Drip,B,Y,567.0,0.0,175.24,175.24,False,442.0,7,ManualAdjustments.xlsx
8,SITE_A,HSC-103,Gloves,B,Y,382.0678648296656,2535.0,280.0,280.0,False,385.0,7,Inventory_MasterB.xlsx
8,SITE_A,HSC-104,X-ray Machine,A,Y,169.54643806951447,1957.5,297.43,297.43,False,589.0,7,Inventory_MasterA.xlsx
8,SITE_A,HSC-105,IV Drip,C,Y,1540.886721591392,0.0,153.47,153.47,False,510.0,7,ManualAdjustments.xlsx
8,SITE_A,HSC-106,Ventilator,B,Y,,3302.5,213.7,213.7,False,491.0,7,WeeklyStockCount.xlsx
8,SITE_A,HSC-107,Surgical Mask,C,Y,1333.0,0.0,212.91,212.91,False,583.0,7,Inventory_MasterA.xlsx
8,SITE_A,HSC-108,Ventilator,B,Y,0.0,2817.0,270.36,208.97,True,462.0,7,Inventory_MasterA.xlsx
8,SITE_A,HSC-109,X-ray Machine,A,Y,0.0,2776.12,317.76,127.54,True,483.5,7,Inventory_MasterB.xlsx
9,SITE_A,HSC-100,IV Drip,C,Y,969.4366767297649,0.0,203.46,203.46,False,527.0,8,Inventory_MasterA.xlsx
9,SITE_A,HSC-101,Gloves,A,Y,1099.969998631976,0.0,269.54,269.54,False,613.0,8,Inventory_MasterA.xlsx
9,SITE_A,HSC-102,IV Drip,B,Y,297.85111986383566,1575.0,196.28,196.28,False,442.0,8,WeeklyStockCount.xlsx
9,SITE_A,HSC-103,Gloves,B,Y,142.7270598060283,2535.0,239.34,239.34,False,385.0,8,ManualAdjustments.xlsx
9,SITE_A,HSC-104,X-ray Machine,A,Y,0.0,1957.5,227.58,169.55,True,589.0,8,ManualAdjustments.xlsx
9,SITE_A,HSC-105,IV Drip,C,Y,1392.4218077384903,0.0,148.46,148.46,False,510.0,8,ManualAdjustments.xlsx
9,SITE_A,HSC-106,Ventilator,B,Y,260.92163950697017,3302.5,211.94,211.94,False,491.0,8,Inventory_MasterA.xlsx
9,SITE_A,HSC-107,Surgical Mask,C,Y,841.0,0.0,207.47,207.47,False,583.0,8,WeeklyStockCount.xlsx
9,SITE_A,HSC-108,Ventilator,B,Y,0.0,2817.0,264.03,0.0,True,462.0,8,ManualAdjustments.xlsx
9,SITE_A,HSC-109,X-ray Machine,A,Y,0.0,2776.12,363.55,0.0,True,483.5,8,Inventory_MasterB.xlsx
10,SITE_A,HSC-100,IV Drip,C,Y,758.9200446421258,0.0,210.52,210.52,False,527.0,9,WeeklyStockCount.xlsx
10,SITE_A,HSC-101,Gloves,A,Y,799.3945791187551,0.0,300.58,300.58,False,613.0,9,WeeklyStockCount.xlsx
10,SITE_A,HSC-102,IV Drip,B,Y,103.85179605910469,1575.0,194.0,194.0,False,442.0,9,WeeklyStockCount.xlsx
10,SITE_A,HSC-103,Gloves,B,Y,0.0,2535.0,253.31,142.73,True,385.0,9,WeeklyStockCount.xlsx
10,SITE_A,HSC-104,X-ray Machine,A,Y,0.0,1957.5,201.92,0.0,True,589.0,9,WeeklyStockCount.xlsx
10,SITE_A,HSC-105,IV Drip,C,Y,1291.4773611859255,0.0,100.94,100.94,False,510.0,9,ManualAdjustments.xlsx
10,SITE_A,HSC-106,Ventilator,B,Y,,3302.5,176.38,176.38,False,491.0,9,ManualAdjustments.xlsx
10,SITE_A,HSC-107,Surgical Mask,C,Y,874.178190624891,0.0,169.84,169.84,False,583.0,9,Inventory_MasterB.xlsx
10,SITE_A,HSC-108,Ventilator,B,Y,0.0,2817.0,260.49,0.0,True,462.0,9,ManualAdjustments.xlsx
10,SITE_A,HSC-109,X-ray Machine,A,Y,0.0,2776.12,281.66,0.0,True,483.5,9,Inventory_MasterB.xlsx
11,SITE_A,HSC-100,IV Drip,C,Y,583.7170654708189,0.0,175.2,175.2,False,527.0,10,Inventory_MasterA.xlsx
11,SITE_A,HSC-101,Gloves,A,Y,421.8330844766987,2983.5,377.56,377.56,False,613.0,10,ManualAdjustments.xlsx
11,SITE_A,HSC-102,IV Drip,B,Y,0.0,1575.0,196.53,103.85,True,442.0,10,Inventory_MasterB.xlsx
11,SITE_A,HSC-103,Gloves,B,Y,0.0,2535.0,291.12,0.0,True,385.0,10,Inventory_MasterB.xlsx
11,SITE_A,HSC-104,X-ray Machine,A,Y,0.0,1957.5,241.27,0.0,True,589.0,10,Inventory_MasterB.xlsx
11,SITE_A,HSC-105,IV Drip,C,Y,1160.0249619827332,0.0,131.45,131.45,False,510.0,10,Inventory_MasterB.xlsx
11,SITE_A,HSC-106,Ventilator,B,Y,0.0,3302.5,191.91,84.54,True,491.0,10,WeeklyStockCount.xlsx
11,SITE_A,HSC-107,Surgical Mask,C,Y,679.810563032946,0.0,194.37,194.37,False,583.0,10,Inventory_MasterA.xlsx
11,SITE_A,HSC-108,Ventilator,B,Y,0.0,2817.0,279.76,0.0,True,462.0,10,WeeklyStockCount.xlsx
11,SITE_A,HSC-109,X-ray Machine,A,Y,0.0,2776.12,231.88,0.0,True,483.5,10,WeeklyStockCount.xlsx
12,SITE_A,HSC-100,IV Drip,C,Y,381.01616937322706,1833.0,202.7,202.7,False,527.0,11,WeeklyStockCount.xlsx
12,SITE_A,HSC-101,Gloves,A,Y,102.73860750023681,2983.5,319.09,319.09,False,613.0,11,Inventory_MasterA.xlsx
12,SITE_A,HSC-102,IV Drip,B,Y,0.0,1575.0,187.54,0.0,True,442.0,11,Inventory_MasterA.xlsx
12,SITE_A,HSC-103,Gloves,B,Y,,2535.0,190.11,0.0,True,385.0,11,ManualAdjustments.xlsx
12,SITE_A,HSC-104,X-ray Machine,A,Y,0.0,1957.5,293.77,0.0,True,589.0,11,Inventory_MasterA.xlsx
12,SITE_A,HSC-105,IV Drip,C,Y,1036.534597844431,0.0,123.49,123.49,False,510.0,11,ManualAdjustments.xlsx
12,SITE_A,HSC-106,Ventilator,B,Y,0.0,3302.5,241.2,0.0,True,491.0,11,WeeklyStockCount.xlsx
12,SITE_A,HSC-107,Surgical Mask,C,Y,471.9963520907425,2484.0,207.81,207.81,False,583.0,11,ManualAdjustments.xlsx
12,SITE_A,HSC-108,Ventilator,B,Y,0.0,2817.0,313.06,0.0,True,462.0,11,Inventory_MasterA.xlsx
12,SITE_A,HSC-109,X-ray Machine,A,Y,0.0,2776.12,322.0,0.0,True,483.5,11,Inventory_MasterA.xlsx
13,SITE_A,HSC-100,IV Drip,C,Y,,1833.0,153.36,153.36,False,527.0,12,ManualAdjustments.xlsx
13,SITE_A,HSC-101,Gloves,A,Y,0.0,2983.5,315.87,102.74,True,613.0,12,Inventory_MasterA.xlsx
13,SITE_A,HSC-102,IV Drip,B,Y,0.0,1575.0,218.32,0.0,True,442.0,12,Inventory_MasterB.xlsx
13,SITE_A,HSC-103,Gloves,B,Y,0.0,2535.0,319.88,0.0,True,385.0,12,Inventory_MasterA.xlsx
13,SITE_A,HSC-104,X-ray Machine,A,Y,0.0,1957.5,333.59,0.0,True,589.0,12,Inventory_MasterB.xlsx
13,SITE_A,HSC-105,IV Drip,C,Y,891.2662759211274,0.0,145.27,145.27,False,510.0,12,Inventory_MasterA.xlsx
13,SITE_A,HSC-106,Ventilator,B,Y,0.0,3302.5,292.48,0.0,True,491.0,12,Inventory_MasterB.xlsx
13,SITE_A,HSC-107,Surgical Mask,C,Y,309.2896634948119,2484.0,162.71,162.71,False,583.0,12,Inventory_MasterB.xlsx
13,SITE_A,HSC-108,Ventilator,B,Y,0.0,2817.0,215.02,0.0,True,462.0,12,WeeklyStockCount.xlsx
13,SITE_A,HSC-109,X-ray Machine,A,Y,0.0,2776.12,280.38,0.0,True,483.5,12,WeeklyStockCount.xlsx
14,SITE_A,HSC-100,IV Drip,C,Y,52.84248826234216,1833.0,174.81,174.81,False,527.0,13,Inventory_MasterB.xlsx
14,SITE_A,HSC-101,Gloves,A,Y,0.0,2983.5,230.17,0.0,True,613.0,13,WeeklyStockCount.xlsx
14,SITE_A,HSC-102,IV Drip,B,Y,0.0,1575.0,234.01,0.0,True,442.0,13,ManualAdjustments.xlsx
14,SITE_A,HSC-103,Gloves,B,Y,0.0,2535.0,246.72,0.0,True,385.0,13,Inventory_MasterA.xlsx
14,SITE_A,HSC-104,X-ray Machine,A,Y,0.0,1957.5,213.22,0.0,True,589.0,13,ManualAdjustments.xlsx
14,SITE_A,HSC-105,IV Drip,C,Y,779.7190539463967,0.0,111.55,111.55,False,510.0,13,ManualAdjustments.xlsx
14,SITE_A,HSC-106,Ventilator,B,Y,0.0,3302.5,244.56,0.0,True,491.0,13,Inventory_MasterB.xlsx
14,SITE_A,HSC-107,Surgical Mask,C,Y,71.06106757506728,2484.0,238.23,238.23,False,583.0,13,Inventory_MasterA.xlsx
14,SITE_A,HSC-108,Ventilator,B,Y,0.0,2817.0,330.34,0.0,True,462.0,13,WeeklyStockCount.xlsx
14,SITE_A,HSC-109,X-ray Machine,A,Y,0.0,2776.12,512.99,0.0,True,483.5,13,WeeklyStockCount.xlsx
15,SITE_A,HSC-100,IV Drip,C,Y,0.0,1833.0,202.02,52.84,True,527.0,14,WeeklyStockCount.xlsx
15,SITE_A,HSC-101,Gloves,A,Y,0.0,2983.5,251.5,0.0,True,613.0,14,Inventory_MasterB.xlsx
15,SITE_A,HSC-102,IV Drip,B,Y,0.0,1575.0,129.41,0.0,True,442.0,14,WeeklyStockCount.xlsx
15,SITE_A,HSC-103,Gloves,B,Y,,2535.0,269.38,0.0,True,385.0,14,WeeklyStockCount.xlsx
15,SITE_A,HSC-104,X-ray Machine,A,Y,0.0,1957.5,247.56,0.0,True,589.0,14,Inventory_MasterB.xlsx
15,SITE_A,HSC-105,IV Drip,C,Y,653.4243818290115,0.0,126.29,126.29,False,510.0,14,Inventory_MasterA.xlsx
15,SITE_A,HSC-106,Ventilator,B,Y,0.0,3302.5,205.99,0.0,True,491.0,14,Inventory_MasterA.xlsx
15,SITE_A,HSC-107,Surgical Mask,C,Y,0.0,2484.0,201.75,71.06,True,583.0,14,ManualAdjustments.xlsx
15,SITE_A,HSC-108,Ventilator,B,Y,0.0,2817.0,289.63,0.0,True,462.0,14,Inventory_MasterA.xlsx
15,SITE_A,HSC-109,X-ray Machine,A,Y,0.0,2776.12,346.01,0.0,True,483.5,14,ManualAdjustments.xlsx
16,SITE_A,HSC-100,IV Drip,C,Y,0.0,1833.0,182.63,0.0,True,527.0,15,WeeklyStockCount.xlsx
16,SITE_A,HSC-101,Gloves,A,Y,0.0,2983.5,248.96,0.0,True,613.0,15,ManualAdjustments.xlsx
16,SITE_A,HSC-102,IV Drip,B,Y,0.0,1575.0,146.7,0.0,True,442.0,15,Inventory_MasterA.xlsx
16,SITE_A,HSC-103,Gloves,B,Y,0.0,2535.0,234.5,0.0,True,385.0,15,WeeklyStockCount.xlsx
16,SITE_A,HSC-104,X-ray Machine,A,Y,1670.3074491527163,0.0,287.19,287.19,False,589.0,15,Inventory_MasterB.xlsx
16,SITE_A,HSC-105,IV Drip,C,Y,473.4863438523538,1023.75,179.94,179.94,False,510.0,15,Inventory_MasterB.xlsx
16,SITE_A,HSC-106,Ventilator,B,Y,0.0,3302.5,236.93,0.0,True,491.0,15,Inventory_MasterB.xlsx
16,SITE_A,HSC-107,Surgical Mask,C,Y,0.0,2484.0,243.62,0.0,True,583.0,15,Inventory_MasterA.xlsx
16,SITE_A,HSC-108,Ventilator,B,Y,0.0,2817.0,221.16,0.0,True,462.0,15,ManualAdjustments.xlsx
16,SITE_A,HSC-109,X-ray Machine,A,Y,0.0,2776.12,264.73,0.0,True,483.5,15,ManualAdjustments.xlsx
17,SITE_A,HSC-100,IV Drip,C,Y,0.0,1833.0,155.34,0.0,True,527.0,16,Inventory_MasterB.xlsx
17,SITE_A,HSC-101,Gloves,A,Y,0.0,2983.5,266.05,0.0,True,613.0,16,Inventory_MasterA.xlsx
17,SITE_A,HSC-102,IV Drip,B,Y,0.0,1575.0,290.46,0.0,True,442.0,16,ManualAdjustments.xlsx
17,SITE_A,HSC-103,Gloves,B,Y,0.0,2535.0,219.0,0.0,True,385.0,16,Inventory_MasterA.xlsx
17,SITE_A,HSC-104,X-ray Machine,A,Y,1192.0,0.0,333.77,333.77,False,589.0,16,WeeklyStockCount.xlsx
17,SITE_A,HSC-105,IV Drip,C,Y,359.17126461795203,1023.75,114.32,114.32,False,510.0,16,ManualAdjustments.xlsx
17,SITE_A,HSC-106,Ventilator,B,Y,0.0,3302.5,270.32,0.0,True,491.0,16,Inventory_MasterA.xlsx
17,SITE_A,HSC-107,Surgical Mask,C,Y,0.0,2484.0,221.34,0.0,True,583.0,16,Inventory_MasterA.xlsx
17,SITE_A,HSC-108,Ventilator,B,Y,0.0,2817.0,236.15,0.0,True,462.0,16,Inventory_MasterA.xlsx
17,SITE_A,HSC-109,X-ray Machine,A,Y,2442.088986208023,0.0,334.03,334.03,False,483.5,16,Inventory_MasterA.xlsx
18,SITE_A,HSC-100,IV Drip,C,Y,0.0,1833.0,165.84,0.0,True,527.0,17,Inventory_MasterB.xlsx
18,SITE_A,HSC-101,Gloves,A,Y,0.0,2983.5,330.57,0.0,True,613.0,17,ManualAdjustments.xlsx
18,SITE_A,HSC-102,IV Drip,B,Y,0.0,1575.0,192.8,0.0,True,442.0,17,ManualAdjustments.xlsx
18,SITE_A,HSC-103,Gloves,B,Y,0.0,2535.0,200.3,0.0,True,385.0,17,WeeklyStockCount.xlsx
18,SITE_A,HSC-104,X-ray Machine,A,Y,1113.2466540971634,0.0,223.29,223.29,False,589.0,17,ManualAdjustments.xlsx
18,SITE_A,HSC-105,IV Drip,C,Y,218.43077947951957,1023.75,140.74,140.74,False,510.0,17,WeeklyStockCount.xlsx
18,SITE_A,HSC-106,Ventilator,B,Y,0.0,3302.5,297.3,0.0,True,491.0,17,WeeklyStockCount.xlsx
18,SITE_A,HSC-107,Surgical Mask,C,Y,0.0,2484.0,212.96,0.0,True,583.0,17,ManualAdjustments.xlsx
18,SITE_A,HSC-108,Ventilator,B,Y,0.0,2817.0,237.81,0.0,True,462.0,17,WeeklyStockCount.xlsx
18,SITE_A,HSC-109,X-ray Machine,A,Y,2088.276496932297,0.0,353.81,353.81,False,483.5,17,WeeklyStockCount.xlsx
19,SITE_A,HSC-100,IV Drip,C,Y,0.0,1833.0,232.2,0.0,True,527.0,18,Inventory_MasterB.xlsx
19,SITE_A,HSC-101,Gloves,A,Y,0.0,2983.5,318.08,0.0,True,613.0,18,Inventory_MasterB.xlsx
19,SITE_A,HSC-102,IV Drip,B,Y,1380.5330493255153,0.0,194.47,194.47,False,442.0,18,ManualAdjustments.xlsx
19,SITE_A,HSC-103,Gloves,B,Y,0.0,2535.0,308.18,0.0,True,385.0,18,ManualAdjustments.xlsx
19,SITE_A,HSC-104,X-ray Machine,A,Y,800.8655680094671,0.0,312.38,312.38,False,589.0,18,WeeklyStockCount.xlsx
19,SITE_A,HSC-105,IV Drip,C,Y,44.19725475617804,1023.75,174.23,174.23,False,510.0,18,WeeklyStockCount.xlsx
19,SITE_A,HSC-106,Ventilator,B,Y,0.0,3302.5,239.14,0.0,True,491.0,18,ManualAdjustments.xlsx
19,SITE_A,HSC-107,Surgical Mask,C,Y,0.0,2484.0,161.38,0.0,True,583.0,18,WeeklyStockCount.xlsx
19,SITE_A,HSC-108,Ventilator,B,Y,0.0,2817.0,183.16,0.0,True,462.0,18,WeeklyStockCount.xlsx
19,SITE_A,HSC-109,X-ray Machine,A,Y,1651.7797920770504,0.0,436.5,436.5,False,483.5,18,Inventory_MasterA.xlsx
20,SITE_A,HSC-100,IV Drip,C,Y,0.0,1833.0,246.33,0.0,True,527.0,19,WeeklyStockCount.xlsx
20,SITE_A,HSC-101,Gloves,A,Y,0.0,2983.5,296.11,0.0,True,613.0,19,WeeklyStockCount.xlsx
20,SITE_A,HSC-102,IV Drip,B,Y,1185.0175300644557,0.0,195.52,195.52,False,442.0,19,Inventory_MasterA.xlsx
20,SITE_A,HSC-103,Gloves,B,Y,0.0,2535.0,324.61,0.0,True,385.0,19,Inventory_MasterB.xlsx
20,SITE_A,HSC-104,X-ray Machine,A,Y,568.6533526121372,1957.5,232.21,232.21,False,589.0,19,WeeklyStockCount.xlsx
20,SITE_A,HSC-105,IV Drip,C,Y,0.0,1023.75,114.52,44.2,True,510.0,19,Inventory_MasterA.xlsx
20,SITE_A,HSC-106,Ventilator,B,Y,0.0,3302.5,258.31,0.0,True,491.0,19,ManualAdjustments.xlsx
20,SITE_A,HSC-107,Surgical Mask,C,Y,0.0,2484.0,192.3,0.0,True,583.0,19,WeeklyStockCount.xlsx
20,SITE_A,HSC-108,Ventilator,B,Y,0.0,2817.0,242.78,0.0,True,462.0,19,Inventory_MasterA.xlsx
20,SITE_A,HSC-109,X-ray Machine,A,Y,,0.0,326.6,326.6,False,483.5,19,WeeklyStockCount.xlsx
21,SITE_A,HSC-100,IV Drip,C,Y,0.0,1833.0,199.42,0.0,True,527.0,20,Inventory_MasterB.xlsx
21,SITE_A,HSC-101,Gloves,A,Y,0.0,2983.5,383.52,0.0,True,613.0,20,Inventory_MasterB.xlsx
21,SITE_A,HSC-102,IV Drip,B,Y,971.5934205835697,0.0,213.42,213.42,False,442.0,20,ManualAdjustments.xlsx
21,SITE_A,HSC-103,Gloves,B,Y,0.0,2535.0,286.79,0.0,True,385.0,20,WeeklyStockCount.xlsx
21,SITE_A,HSC-104,X-ray Machine,A,Y,385.67233628595653,1957.5,182.98,182.98,False,589.0,20,WeeklyStockCount.xlsx
21,SITE_A,HSC-105,IV Drip,C,Y,0.0,1023.75,135.3,0.0,True,510.0,20,Inventory_MasterA.xlsx
21,SITE_A,HSC-106,Ventilator,B,Y,0.0,3302.5,196.36,0.0,True,491.0,20,WeeklyStockCount.xlsx
