day,site_id,sku_id,sku_name,abc_class,xyz_class,true_stock_level,perceived_stock_level,on_order,demand,fulfilled,stockout,reorder_point
6,SITE_A,HSC-100,IV Drip,C,Y,1317.7247255869524,1646.5602129671427,0.0,131.05,131.05,False,527.0
6,SITE_A,HSC-101,Gloves,A,Y,1613.0896580507133,2241.4155460782836,0.0,287.55,287.55,False,613.0
6,SITE_A,HSC-102,IV Drip,B,Y,669.372388052815,1040.44396392324,0.0,216.15,216.15,False,442.0
6,SITE_A,HSC-103,Gloves,B,Y,662.0665208495927,1009.0,0.0,284.12,284.12,False,385.0
6,SITE_A,HSC-104,X-ray Machine,A,Y,466.981061492398,1059.553636403501,0.0,327.13,327.13,False,589.0
6,SITE_A,HSC-105,IV Drip,C,Y,1694.351946740837,1971.1472595783603,0.0,155.99,155.99,False,510.0
6,SITE_A,HSC-106,Ventilator,B,Y,686.5580262178793,1123.561474848671,0.0,216.97,216.97,False,491.0
6,SITE_A,HSC-107,Surgical Mask,C,Y,1464.393493581772,1916.8677790436839,0.0,189.77,189.77,False,583.0
6,SITE_A,HSC-108,Ventilator,B,Y,208.96925909865354,967.3213503931837,0.0,280.53,280.53,False,462.0
6,SITE_A,HSC-109,X-ray Machine,A,Y,127.53706859237099,847.5983855718976,0.0,324.91,324.91,False,483.5
7,SITE_A,HSC-100,IV Drip,C,Y,1172.8939507687078,1448.7764125154736,0.0,144.83,144.83,False,527.0
7,SITE_A,HSC-101,Gloves,A,Y,1369.511117798025,1343.0,0.0,243.58,243.58,False,613.0
7,SITE_A,HSC-102,IV Drip,B,Y,494.12768446367596,885.5244539137842,0.0,175.24,175.24,False,442.0
7,SITE_A,HSC-103,Gloves,B,Y,382.0678648296656,946.185165898273,0.0,280.0,280.0,False,385.0
7,SITE_A,HSC-104,X-ray Machine,A,Y,169.54643806951447,794.107088957585,0.0,297.43,297.43,False,589.0
7,SITE_A,HSC-105,IV Drip,C,Y,1540.886721591392,1850.3444883096993,0.0,153.47,153.47,False,510.0
7,SITE_A,HSC-106,Ventilator,B,Y,472.86164399072265,903.5266524572869,0.0,213.7,213.7,False,491.0
7,SITE_A,HSC-107,Surgical Mask,C,Y,1251.4863046922535,1654.1662657870902,0.0,212.91,212.91,False,583.0
7,SITE_A,HSC-108,Ventilator,B,Y,0.0,489.49712414484145,0.0,270.36,208.97,True,462.0
7,SITE_A,HSC-109,X-ray Machine,A,Y,0.0,452.44976563429157,2776.12,317.76,127.54,True,483.5
8,SITE_A,HSC-100,IV Drip,C,Y,969.4366767297649,2043.0,0.0,203.46,203.46,False,527.0
8,SITE_A,HSC-101,Gloves,A,Y,1099.969998631976,1613.0896580507133,0.0,269.54,269.54,False,613.0
8,SITE_A,HSC-102,IV Drip,B,Y,297.85111986383566,669.372388052815,0.0,196.28,196.28,False,442.0
8,SITE_A,HSC-103,Gloves,B,Y,142.7270598060283,662.0665208495927,0.0,239.34,239.34,False,385.0
8,SITE_A,HSC-104,X-ray Machine,A,Y,0.0,466.981061492398,1957.5,227.58,169.55,True,589.0
8,SITE_A,HSC-105,IV Drip,C,Y,1392.4218077384903,1694.351946740837,0.0,148.46,148.46,False,510.0
8,SITE_A,HSC-106,Ventilator,B,Y,260.92163950697017,446.0,3302.5,211.94,211.94,False,491.0
8,SITE_A,HSC-107,Surgical Mask,C,Y,1044.0207738284598,1464.393493581772,0.0,207.47,207.47,False,583.0
8,SITE_A,HSC-108,Ventilator,B,Y,0.0,208.96925909865354,2817.0,264.03,0.0,True,462.0
8,SITE_A,HSC-109,X-ray Machine,A,Y,0.0,127.53706859237099,2776.12,363.55,0.0,True,483.5
9,SITE_A,HSC-100,IV Drip,C,Y,758.9200446421258,1172.8939507687078,0.0,210.52,210.52,False,527.0
9,SITE_A,HSC-101,Gloves,A,Y,799.3945791187551,1369.511117798025,0.0,300.58,300.58,False,613.0
9,SITE_A,HSC-102,IV Drip,B,Y,103.85179605910469,494.12768446367596,0.0,194.0,194.0,False,442.0
9,SITE_A,HSC-103,Gloves,B,Y,0.0,382.0678648296656,2535.0,253.31,142.73,True,385.0
9,SITE_A,HSC-104,X-ray Machine,A,Y,0.0,169.54643806951447,1957.5,201.92,0.0,True,589.0
9,SITE_A,HSC-105,IV Drip,C,Y,1291.4773611859255,1540.886721591392,0.0,100.94,100.94,False,510.0
9,SITE_A,HSC-106,Ventilator,B,Y,84.53853235377812,472.86164399072265,3302.5,176.38,176.38,False,491.0
9,SITE_A,HSC-107,Surgical Mask,C,Y,874.178190624891,1251.4863046922535,0.0,169.84,169.84,False,583.0
9,SITE_A,HSC-108,Ventilator,B,Y,0.0,0.0,2817.0,260.49,0.0,True,462.0
9,SITE_A,HSC-109,X-ray Machine,A,Y,0.0,0.0,2776.12,281.66,0.0,True,483.5
10,SITE_A,HSC-100,IV Drip,C,Y,583.7170654708189,567.0,0.0,175.2,175.2,False,527.0
10,SITE_A,HSC-101,Gloves,A,Y,421.8330844766987,1099.969998631976,0.0,377.56,377.56,False,613.0
10,SITE_A,HSC-102,IV Drip,B,Y,0.0,297.85111986383566,1575.0,196.53,103.85,True,442.0
10,SITE_A,HSC-103,Gloves,B,Y,0.0,142.7270598060283,2535.0,291.12,0.0,True,385.0
10,SITE_A,HSC-104,X-ray Machine,A,Y,0.0,0.0,1957.5,241.27,0.0,True,589.0
10,SITE_A,HSC-105,IV Drip,C,Y,1160.0249619827332,1392.4218077384903,0.0,131.45,131.45,False,510.0
10,SITE_A,HSC-106,Ventilator,B,Y,0.0,472.86164399072265,3302.5,191.91,84.54,True,491.0
10,SITE_A,HSC-107,Surgical Mask,C,Y,679.810563032946,1251.4863046922535,0.0,194.37,194.37,False,583.0
10,SITE_A,HSC-108,Ventilator,B,Y,0.0,0.0,2817.0,279.76,0.0,True,462.0
10,SITE_A,HSC-109,X-ray Machine,A,Y,0.0,0.0,2776.12,231.88,0.0,True,483.5
11,SITE_A,HSC-100,IV Drip,C,Y,381.01616937322706,758.9200446421258,0.0,202.7,202.7,False,527.0
11,SITE_A,HSC-101,Gloves,A,Y,102.73860750023681,799.3945791187551,0.0,319.09,319.09,False,613.0
11,SITE_A,HSC-102,IV Drip,B,Y,0.0,103.85179605910469,1575.0,187.54,0.0,True,442.0
11,SITE_A,HSC-103,Gloves,B,Y,0.0,0.0,2535.0,190.11,0.0,True,385.0
11,SITE_A,HSC-104,X-ray Machine,A,Y,0.0,0.0,1957.5,293.77,0.0,True,589.0
11,SITE_A,HSC-105,IV Drip,C,Y,1036.534597844431,1291.4773611859255,0.0,123.49,123.49,False,510.0
11,SITE_A,HSC-106,Ventilator,B,Y,0.0,84.53853235377812,3302.5,241.2,0.0,True,491.0
11,SITE_A,HSC-107,Surgical Mask,C,Y,471.9963520907425,874.178190624891,0.0,207.81,207.81,False,583.0
11,SITE_A,HSC-108,Ventilator,B,Y,0.0,0.0,2817.0,313.06,0.0,True,462.0
11,SITE_A,HSC-109,X-ray Machine,A,Y,0.0,0.0,2776.12,322.0,0.0,True,483.5
12,SITE_A,HSC-100,IV Drip,C,Y,227.65132452355095,758.9200446421258,0.0,153.36,153.36,False,527.0
12,SITE_A,HSC-101,Gloves,A,Y,0.0,421.8330844766987,2983.5,315.87,102.74,True,613.0
12,SITE_A,HSC-102,IV Drip,B,Y,0.0,0.0,1575.0,218.32,0.0,True,442.0
12,SITE_A,HSC-103,Gloves,B,Y,0.0,0.0,2535.0,319.88,0.0,True,385.0
12,SITE_A,HSC-104,X-ray Machine,A,Y,0.0,0.0,1957.5,333.59,0.0,True,589.0
12,SITE_A,HSC-105,IV Drip,C,Y,891.2662759211274,1660.0,0.0,145.27,145.27,False,510.0
12,SITE_A,HSC-106,Ventilator,B,Y,0.0,0.0,3302.5,292.48,0.0,True,491.0
12,SITE_A,HSC-107,Surgical Mask,C,Y,309.2896634948119,679.810563032946,0.0,162.71,162.71,False,583.0
12,SITE_A,HSC-108,Ventilator,B,Y,0.0,0.0,2817.0,215.02,0.0,True,462.0
12,SITE_A,HSC-109,X-ray Machine,A,Y,0.0,0.0,2776.12,280.38,0.0,True,483.5
13,SITE_A,HSC-100,IV Drip,C,Y,52.84248826234216,381.01616937322706,1833.0,174.81,174.81,False,527.0
13,SITE_A,HSC-101,Gloves,A,Y,0.0,102.73860750023681,2983.5,230.17,0.0,True,613.0
13,SITE_A,HSC-102,IV Drip,B,Y,0.0,0.0,1575.0,234.01,0.0,True,442.0
13,SITE_A,HSC-103,Gloves,B,Y,0.0,0.0,2535.0,246.72,0.0,True,385.0
13,SITE_A,HSC-104,X-ray Machine,A,Y,0.0,0.0,1957.5,213.22,0.0,True,589.0
13,SITE_A,HSC-105,IV Drip,C,Y,779.7190539463967,1036.534597844431,0.0,111.55,111.55,False,510.0
13,SITE_A,HSC-106,Ventilator,B,Y,0.0,0.0,3302.5,244.56,0.0,True,491.0
13,SITE_A,HSC-107,Surgical Mask,C,Y,71.06106757506728,471.9963520907425,2484.0,238.23,238.23,False,583.0
13,SITE_A,HSC-108,Ventilator,B,Y,0.0,0.0,2817.0,330.34,0.0,True,462.0
13,SITE_A,HSC-109,X-ray Machine,A,Y,0.0,0.0,2776.12,512.99,0.0,True,483.5
14,SITE_A,HSC-100,IV Drip,C,Y,0.0,227.65132452355095,1833.0,202.02,52.84,True,527.0
14,SITE_A,HSC-101,Gloves,A,Y,0.0,0.0,2983.5,251.5,0.0,True,613.0
14,SITE_A,HSC-102,IV Drip,B,Y,0.0,0.0,1575.0,129.41,0.0,True,442.0
14,SITE_A,HSC-103,Gloves,B,Y,0.0,0.0,2535.0,269.38,0.0,True,385.0
14,SITE_A,HSC-104,X-ray Machine,A,Y,0.0,0.0,1957.5,247.56,0.0,True,589.0
14,SITE_A,HSC-105,IV Drip,C,Y,653.4243818290115,891.2662759211274,0.0,126.29,126.29,False,510.0
14,SITE_A,HSC-106,Ventilator,B,Y,0.0,0.0,3302.5,205.99,0.0,True,491.0
14,SITE_A,HSC-107,Surgical Mask,C,Y,0.0,309.2896634948119,2484.0,201.75,71.06,True,583.0
14,SITE_A,HSC-108,Ventilator,B,Y,0.0,0.0,2817.0,289.63,0.0,True,462.0
14,SITE_A,HSC-109,X-ray Machine,A,Y,0.0,0.0,2776.12,346.01,0.0,True,483.5
15,SITE_A,HSC-100,IV Drip,C,Y,0.0,52.84248826234216,1833.0,182.63,0.0,True,527.0
15,SITE_A,HSC-101,Gloves,A,Y,0.0,0.0,2983.5,248.96,0.0,True,613.0
15,SITE_A,HSC-102,IV Drip,B,Y,0.0,0.0,1575.0,146.7,0.0,True,442.0
15,SITE_A,HSC-103,Gloves,B,Y,0.0,0.0,2535.0,234.5,0.0,True,385.0
15,SITE_A,HSC-104,X-ray Machine,A,Y,0.0,0.0,1957.5,287.19,0.0,True,589.0
15,SITE_A,HSC-105,IV Drip,C,Y,473.4863438523538,779.7190539463967,0.0,179.94,179.94,False,510.0
15,SITE_A,HSC-106,Ventilator,B,Y,0.0,0.0,3302.5,236.93,0.0,True,491.0
15,SITE_A,HSC-107,Surgical Mask,C,Y,0.0,71.06106757506728,2484.0,243.62,0.0,True,583.0
15,SITE_A,HSC-108,Ventilator,B,Y,0.0,0.0,2817.0,221.16,0.0,True,462.0
15,SITE_A,HSC-109,X-ray Machine,A,Y,0.0,0.0,2776.12,264.73,0.0,True,483.5
16,SITE_A,HSC-100,IV Drip,C,Y,0.0,0.0,1833.0,155.34,0.0,True,527.0
16,SITE_A,HSC-101,Gloves,A,Y,0.0,0.0,2983.5,266.05,0.0,True,613.0
16,SITE_A,HSC-102,IV Drip,B,Y,0.0,0.0,1575.0,290.46,0.0,True,442.0
16,SITE_A,HSC-103,Gloves,B,Y,0.0,0.0,2535.0,219.0,0.0,True,385.0
16,SITE_A,HSC-104,X-ray Machine,A,Y,0.0,0.0,1957.5,333.77,0.0,True,589.0
16,SITE_A,HSC-105,IV Drip,C,Y,359.17126461795203,653.4243818290115,0.0,114.32,114.32,False,510.0
16,SITE_A,HSC-106,Ventilator,B,Y,0.0,0.0,3302.5,270.32,0.0,True,491.0
16,SITE_A,HSC-107,Surgical Mask,C,Y,0.0,0.0,2484.0,221.34,0.0,True,583.0
16,SITE_A,HSC-108,Ventilator,B,Y,0.0,0.0,2817.0,236.15,0.0,True,462.0
16,SITE_A,HSC-109,X-ray Machine,A,Y,0.0,0.0,2776.12,334.03,0.0,True,483.5
17,SITE_A,HSC-100,IV Drip,C,Y,0.0,0.0,1833.0,165.84,0.0,True,527.0
17,SITE_A,HSC-101,Gloves,A,Y,0.0,0.0,2983.5,330.57,0.0,True,613.0
17,SITE_A,HSC-102,IV Drip,B,Y,0.0,0.0,1575.0,192.8,0.0,True,442.0
17,SITE_A,HSC-103,Gloves,B,Y,0.0,0.0,2535.0,200.3,0.0,True,385.0
17,SITE_A,HSC-104,X-ray Machine,A,Y,1734.2083413794842,0.0,1957.5,223.29,223.29,False,589.0
17,SITE_A,HSC-105,IV Drip,C,Y,218.43077947951957,473.4863438523538,1023.75,140.74,140.74,False,510.0
17,SITE_A,HSC-106,Ventilator,B,Y,0.0,0.0,3302.5,297.3,0.0,True,491.0
17,SITE_A,HSC-107,Surgical Mask,C,Y,0.0,0.0,2484.0,212.96,0.0,True,583.0
17,SITE_A,HSC-108,Ventilator,B,Y,0.0,0.0,2817.0,237.81,0.0,True,462.0
17,SITE_A,HSC-109,X-ray Machine,A,Y,0.0,0.0,2776.12,353.81,0.0,True,483.5
18,SITE_A,HSC-100,IV Drip,C,Y,0.0,0.0,1833.0,232.2,0.0,True,527.0
18,SITE_A,HSC-101,Gloves,A,Y,0.0,0.0,2983.5,318.08,0.0,True,613.0
18,SITE_A,HSC-102,IV Drip,B,Y,0.0,0.0,1575.0,194.47,0.0,True,442.0
18,SITE_A,HSC-103,Gloves,B,Y,0.0,0.0,2535.0,308.18,0.0,True,385.0
18,SITE_A,HSC-104,X-ray Machine,A,Y,1421.8272552917879,1957.5,1957.5,312.38,312.38,False,589.0
18,SITE_A,HSC-105,IV Drip,C,Y,44.19725475617804,359.17126461795203,1023.75,174.23,174.23,False,510.0
18,SITE_A,HSC-106,Ventilator,B,Y,0.0,0.0,3302.5,239.14,0.0,True,491.0
18,SITE_A,HSC-107,Surgical Mask,C,Y,0.0,0.0,2484.0,161.38,0.0,True,583.0
18,SITE_A,HSC-108,Ventilator,B,Y,0.0,0.0,2817.0,183.16,0.0,True,462.0
18,SITE_A,HSC-109,X-ray Machine,A,Y,2339.6232951447532,0.0,2776.12,436.5,436.5,False,483.5
19,SITE_A,HSC-100,IV Drip,C,Y,0.0,0.0,1833.0,246.33,0.0,True,527.0
19,SITE_A,HSC-101,Gloves,A,Y,0.0,0.0,2983.5,296.11,0.0,True,613.0
19,SITE_A,HSC-102,IV Drip,B,Y,0.0,0.0,1575.0,195.52,0.0,True,442.0
19,SITE_A,HSC-103,Gloves,B,Y,0.0,0.0,2535.0,324.61,0.0,True,385.0
19,SITE_A,HSC-104,X-ray Machine,A,Y,1189.6150398944578,1734.2083413794842,1957.5,232.21,232.21,False,589.0
19,SITE_A,HSC-105,IV Drip,C,Y,0.0,218.43077947951957,1023.75,114.52,44.2,True,510.0
19,SITE_A,HSC-106,Ventilator,B,Y,0.0,0.0,3302.5,258.31,0.0,True,491.0
19,SITE_A,HSC-107,Surgical Mask,C,Y,0.0,0.0,2484.0,192.3,0.0,True,583.0
19,SITE_A,HSC-108,Ventilator,B,Y,0.0,0.0,2817.0,242.78,0.0,True,462.0
19,SITE_A,HSC-109,X-ray Machine,A,Y,2013.023031508383,2776.12,2776.12,326.6,326.6,False,483.5
20,SITE_A,HSC-100,IV Drip,C,Y,0.0,0.0,1833.0,199.42,0.0,True,527.0
20,SITE_A,HSC-101,Gloves,A,Y,0.0,0.0,2983.5,383.52,0.0,True,613.0
20,SITE_A,HSC-102,IV Drip,B,Y,1361.575890519114,0.0,1575.0,213.42,213.42,False,442.0
20,SITE_A,HSC-103,Gloves,B,Y,0.0,0.0,2535.0,286.79,0.0,True,385.0
20,SITE_A,HSC-104,X-ray Machine,A,Y,1006.6340235682771,1421.8272552917879,1957.5,182.98,182.98,False,589.0
20,SITE_A,HSC-105,IV Drip,C,Y,0.0,44.19725475617804,1023.75,135.3,0.0,True,510.0
20,SITE_A,HSC-106,Ventilator,B,Y,0.0,0.0,3302.5,196.36,0.0,True,491.0
20,SITE_A,HSC-107,Surgical Mask,C,Y,0.0,0.0,2484.0,161.59,0.0,True,583.0
20,SITE_A,HSC-108,Ventilator,B,Y,0.0,0.0,2817.0,204.59,0.0,True,462.0
20,SITE_A,HSC-109,X-ray Machine,A,Y,1696.760888311631,2339.6232951447532,2776.12,316.26,316.26,False,483.5
21,SITE_A,HSC-100,IV Drip,C,Y,0.0,0.0,1833.0,218.99,0.0,True,527.0
21,SITE_A,HSC-101,Gloves,A,Y,0.0,0.0,2983.5,232.94,0.0,True,613.0
21,SITE_A,HSC-102,IV Drip,B,Y,1150.418020099045,1575.0,1575.0,211.16,211.16,False,442.0
21,SITE_A,HSC-103,Gloves,B,Y,0.0,0.0,2535.0,234.6,0.0,True,385.0
21,SITE_A,HSC-104,X-ray Machine,A,Y,733.7385590939715,1421.8272552917879,1957.5,272.9,272.9,False,589.0
21,SITE_A,HSC-105,IV Drip,C,Y,0.0,0.0,1023.75,161.14,0.0,True,510.0
21,SITE_A,HSC-106,Ventilator,B,Y,0.0,0.0,3302.5,253.92,0.0,True,491.0
21,SITE_A,HSC-107,Surgical Mask,C,Y,0.0,0.0,2484.0,256.83,0.0,True,583.0
21,SITE_A,HSC-108,Ventilator,B,Y,0.0,0.0,2817.0,236.24,0.0,True,462.0
21,SITE_A,HSC-109,X-ray Machine,A,Y,1402.4141323005256,1951.0,2776.12,294.35,294.35,False,483.5
22,SITE_A,HSC-100,IV Drip,C,Y,0.0,0.0,1833.0,180.42,0.0,True,527.0
22,SITE_A,HSC-101,Gloves,A,Y,0.0,0.0,2983.5,319.36,0.0,True,613.0
22,SITE_A,HSC-102,IV Drip,B,Y,933.7435471494947,1361.575890519114,1575.0,216.67,216.67,False,442.0
22,SITE_A,HSC-103,Gloves,B,Y,0.0,0.0,2535.0,206.84,0.0,True,385.0
22,SITE_A,HSC-104,X-ray Machine,A,Y,439.01499249299644,1006.6340235682771,1957.5,294.72,294.72,False,589.0
22,SITE_A,HSC-105,IV Drip,C,Y,0.0,0.0,1023.75,142.11,0.0,True,510.0
22,SITE_A,HSC-106,Ventilator,B,Y,0.0,0.0,3302.5,336.4,0.0,True,491.0
22,SITE_A,HSC-107,Surgical Mask,C,Y,0.0,0.0,2484.0,276.93,0.0,True,583.0
22,SITE_A,HSC-108,Ventilator,B,Y,0.0,0.0,2817.0,205.68,0.0,True,462.0
22,SITE_A,HSC-109,X-ray Machine,A,Y,1083.3209425095592,1696.760888311631,2776.12,319.09,319.09,False,483.5
23,SITE_A,HSC-100,IV Drip,C,Y,0.0,0.0,1833.0,138.48,0.0,True,527.0
23,SITE_A,HSC-101,Gloves,A,Y,0.0,0.0,2983.5,273.46,0.0,True,613.0
23,SITE_A,HSC-102,IV Drip,B,Y,711.8136780137798,1150.418020099045,1575.0,221.93,221.93,False,442.0
23,SITE_A,HSC-103,Gloves,B,Y,0.0,0.0,2535.0,312.78,0.0,True,385.0
23,SITE_A,HSC-104,X-ray Machine,A,Y,187.07316882321282,733.7385590939715,1957.5,251.94,251.94,False,589.0
23,SITE_A,HSC-105,IV Drip,C,Y,0.0,0.0,1023.75,120.43,0.0,True,510.0
23,SITE_A,HSC-106,Ventilator,B,Y,0.0,0.0,3302.5,142.02,0.0,True,491.0
23,SITE_A,HSC-107,Surgical Mask,C,Y,0.0,0.0,2484.0,200.94,0.0,True,583.0
23,SITE_A,HSC-108,Ventilator,B,Y,0.0,0.0,2817.0,196.53,0.0,True,462.0
23,SITE_A,HSC-109,X-ray Machine,A,Y,778.8890886251223,1402.4141323005256,2776.12,304.43,304.43,False,483.5
24,SITE_A,HSC-100,IV Drip,C,Y,0.0,0.0,1833.0,158.33,0.0,True,527.0
24,SITE_A,HSC-101,Gloves,A,Y,0.0,0.0,2983.5,300.81,0.0,True,613.0
24,SITE_A,HSC-102,IV Drip,B,Y,568.2558112070606,933.7435471494947,1575.0,143.56,143.56,False,442.0
24,SITE_A,HSC-103,Gloves,B,Y,0.0,0.0,2535.0,189.13,0.0,True,385.0
24,SITE_A,HSC-104,X-ray Machine,A,Y,0.0,439.01499249299644,1957.5,401.15,187.07,True,589.0
24,SITE_A,HSC-105,IV Drip,C,Y,0.0,0.0,1023.75,104.87,0.0,True,510.0
